Molecular Weight,Rotatable Bond,logP,HBA,HBD,tPSA,Number of Atoms,Number of Bonds,Fold,Label,ID
275.13822478400004,1,0.4214999999999997,7,0,82.67,20,22,5,1,Active_1
291.133139404,1,-0.3401,7,0,96.71999999999998,21,23,3,1,Active_2
249.12257472,0,-0.3287,7,0,82.67,18,19,1,1,Active_3
265.11748934,0,-1.0902999999999985,7,0,96.71999999999998,19,20,4,1,Active_4
279.096753896,1,-1.883899999999998,8,0,105.95,20,22,3,1,Active_5
322.138953056,2,-0.6014999999999997,9,1,121.0,23,24,3,1,Active_6
338.133867676,2,-1.363099999999998,9,1,135.05,24,25,3,1,Active_7
193.059974464,0,-1.3281800000000006,6,1,93.53000000000002,14,15,1,1,Active_8
265.11748934,3,-0.8162799999999995,7,0,96.72,19,20,4,1,Active_9
275.13822478400004,1,0.6504199999999996,7,0,82.67,20,22,5,1,Active_10
291.133139404,1,-0.11118,7,0,96.72,21,23,3,1,Active_11
283.10692465600005,2,0.1935199999999997,7,0,82.67,21,23,1,1,Active_12
285.086189212,1,-0.6271800000000003,7,0,96.72,21,23,4,1,Active_13
303.16952491200004,2,1.4654,7,0,82.67,22,24,5,1,Active_14
351.16952491200004,3,1.9328,7,0,82.67,26,29,2,1,Active_15
319.164439532,2,0.7038000000000004,7,0,96.72,23,25,3,1,Active_16
343.20082504000004,2,2.3897000000000004,7,0,82.67,25,28,5,1,Active_17
359.19573966,2,1.6280999999999997,7,0,96.71999999999998,26,29,3,1,Active_18
299.101839276,2,-0.7969999999999993,7,0,96.71999999999998,22,24,1,1,Active_19
297.12257472000005,3,0.159,7,0,82.67,22,24,2,1,Active_20
313.11748934,3,-0.6025999999999998,7,0,96.71999999999998,23,25,1,1,Active_21
207.075624528,0,-1.3177800000000004,7,0,82.67,15,16,1,1,Active_22
223.070539148,0,-2.079379999999998,7,0,96.72,16,17,4,1,Active_23
235.106924656,1,-0.5028000000000004,7,0,82.67,17,18,1,1,Active_24
251.101839276,1,-1.264399999999998,7,0,96.72,18,19,4,1,Active_25
233.091274592,1,-0.7487999999999999,7,0,82.67,17,19,5,1,Active_26
249.086189212,1,-1.5103999999999989,7,0,96.71999999999998,18,20,3,1,Active_27
270.08652356,1,-0.5642,8,0,95.56,20,22,2,1,Active_28
283.10692465600005,2,-0.0354000000000003,7,0,82.67,21,23,2,1,Active_29
283.10692465600005,1,0.3492199999999996,7,0,82.67,21,23,2,1,Active_30
287.08185278,1,0.1798999999999999,7,0,82.67,21,23,2,1,Active_31
299.101839276,2,0.0493999999999992,8,0,91.9,22,24,2,1,Active_32
270.08652356,1,-0.5642,8,0,95.56,20,22,2,1,Active_33
270.08652356,1,-0.5642,8,0,95.56,20,22,2,1,Active_34
91.02694302,2,-1.0387,3,2,72.55,6,5,5,1,Active_35
552.1056468399998,4,5.437000000000007,10,5,170.8,41,46,4,1,Active_36
342.18310931199994,10,4.959500000000006,4,3,77.76,25,26,5,1,Active_37
570.1162115239999,4,4.802400000000007,11,6,187.12,42,47,4,1,Active_38
412.261359632,14,6.751400000000007,4,4,80.92,30,31,5,1,Active_39
504.084517472,0,5.081040000000003,8,6,155.52,38,45,1,1,Active_40
189.053826464,0,0.1939700000000001,5,3,100.06,14,15,2,1,Active_41
504.0845174719999,0,5.081040000000005,8,6,155.52,38,45,1,1,Active_42
556.1005614599999,3,4.499400000000008,11,7,198.12,41,46,4,1,Active_43
447.27465867600006,9,3.0497000000000014,7,2,87.45,33,37,2,0,Ligand_3
300.15862588,7,2.4072000000000005,6,1,74.32,22,23,1,0,Ligand_7
384.09912198,7,0.6149000000000002,8,1,116.84,26,28,1,0,Ligand_9
443.1514919,4,2.6737400000000013,5,2,104.81000000000002,31,34,4,0,Ligand_10
396.168521868,4,2.20332,7,1,92.78,29,32,5,0,Ligand_12
423.125277152,4,2.9250000000000007,5,1,78.95,30,34,4,0,Ligand_13
406.200490692,7,3.675600000000003,6,1,81.53999999999999,30,33,4,0,Ligand_17
432.1355074879999,8,2.6643,5,1,104.22,30,32,4,0,Ligand_18
337.098393708,7,1.93812,5,1,85.61,23,24,4,0,Ligand_19
463.120191772,5,3.961420000000002,8,1,101.85,33,37,2,0,Ligand_20
392.10420736,5,2.16822,6,1,94.17,27,29,2,0,Ligand_24
428.151826248,6,2.2776200000000006,6,1,93.41000000000004,30,32,3,0,Ligand_25
440.245726632,7,2.17634,6,1,95.75,30,32,1,0,Ligand_27
344.117235244,4,3.2767000000000017,4,2,80.57,25,27,2,0,Ligand_30
352.10929273999994,8,1.6151999999999995,5,1,88.85000000000001,24,25,5,0,Ligand_31
416.176978376,7,2.7632200000000005,4,1,75.71000000000001,29,31,3,0,Ligand_32
453.135841836,7,3.138840000000001,8,1,95.47,32,35,1,0,Ligand_33
383.059421356,6,2.815700000000001,5,1,85.61,25,27,4,0,Ligand_35
369.103479088,6,3.491920000000002,4,1,76.38,26,28,4,0,Ligand_36
401.183837584,6,3.184340000000001,5,2,105.84,29,31,3,0,Ligand_38
421.13055256000007,4,4.052140000000002,6,1,81.81,30,33,3,0,Ligand_39
294.067427928,5,1.8996,5,1,77.52000000000001,20,21,2,0,Ligand_40
458.05110493600006,4,2.3219000000000003,5,0,83.99000000000001,27,29,2,0,Ligand_41
354.144038436,6,1.3304199999999995,7,3,128.07,26,28,2,0,Ligand_44
339.16166266000005,6,2.3128,5,2,86.28999999999999,23,24,1,0,Ligand_45
337.109627088,4,1.2036600000000002,4,2,103.1,23,24,3,0,Ligand_51
378.116189688,7,2.2896,6,2,97.12,26,28,2,0,Ligand_53
422.1754188160001,5,1.6055999999999993,5,1,74.64999999999999,31,34,5,0,Ligand_54
413.104541708,7,2.6861000000000006,8,2,102.68,29,31,4,0,Ligand_56
424.199821996,6,3.8229000000000033,5,1,77.10000000000001,31,34,5,0,Ligand_57
396.219511884,5,1.97394,4,1,76.72,27,29,4,0,Ligand_59
420.190988628,9,3.323700000000001,8,1,97.79,31,34,5,0,Ligand_60
358.098728056,3,2.4874,5,1,81.31,25,28,5,0,Ligand_64
414.004903692,7,2.5730000000000004,3,2,75.27,24,25,3,0,Ligand_65
355.153206152,7,2.4030000000000005,5,2,97.1,26,28,5,0,Ligand_68
291.024851908,4,2.4626,8,1,90.72,19,21,3,0,Ligand_69
355.079075908,5,3.306800000000001,4,2,74.85,25,27,4,0,Ligand_70
398.19877644,5,1.83072,6,1,95.75,27,28,1,0,Ligand_71
397.2001563440001,7,3.0649000000000006,5,3,88.69000000000001,29,31,3,0,Ligand_75
417.081698088,8,3.225900000000001,7,2,101.29,28,30,5,0,Ligand_76
376.145678248,6,2.932040000000001,5,1,89.27,26,28,2,0,Ligand_80
397.157245976,3,2.931360000000001,7,1,79.60000000000001,28,31,2,0,Ligand_81
445.076612708,5,2.700000000000001,7,1,105.67,30,33,2,0,Ligand_82
277.08849772,3,1.5343,4,2,84.55,19,20,5,0,Ligand_84
317.08341234000005,3,2.27384,3,3,94.82,22,24,4,0,Ligand_86
485.198442092,5,3.342120000000002,5,1,96.02,34,37,4,0,Ligand_87
511.2286966639999,12,2.5693200000000003,8,1,104.61,34,36,5,0,Ligand_89
355.141972772,5,1.8321,5,0,80.75,26,29,1,0,Ligand_90
352.182063756,7,2.686000000000001,3,2,75.27000000000001,24,25,3,0,Ligand_91
327.11538116400004,3,2.6107000000000005,5,1,74.77,23,26,1,0,Ligand_92
